RLBWXYH,class
[143 137  73  34  18   5   0   1],text
[134 130  83  28  35   5   0   0],text
[90 31 25 17 19  7 10  0],non-text
[130  74  36  36  40   2   1   0],non-text
[156 126  42  28  26   8   1   0],text
[185 162  58  34  16   5   3   0],text
[261 143  57  28  30   1   1   0],text
[75 16 15 11 11 11 11  1],non-text
[188 191  61  33  15   7   2   0],text
[126  91  57  33  18   3   4   1],text
[246 169  74  24  20   3   3   0],text
[301 158  89  30  17   3   1   0],text
[168 182  63  39  17   6   2   0],text
[60  6  4 18 16 10  4  3],non-text
[146 100  70  39  18   6   3   0],text
[100  66  37  12  26   7   2   1],text
[20 19 28 34 49  0  0  1],non-text
[143 126  70  24  21   5   3   1],text
[163 106  58  36  16  10   1   1],text
[155  76  44  25  21   7   2   1],text
[81 98 53 38 24  5  2  1],text
[166 142  63  42  14   9   1   0],text
[145  39  31  59  29   1   0   1],non-text
[139  86  57  26  19   5   3   2],text
[77 31 34 23 21  6  4  1],non-text
[160  82  58  34  14   5   3   1],text
[175 125  56  29  20   6   1   1],text
[205  90  76  32  18   3   0   3],text
[155  80  46  25  31   6   1   1],text
[199  51  35  32  20  15   1   0],text
[182 103  47  28  23   4   1   1],text
[171 116  57  52   8   6   3   0],non-text
[ 0 16 68 43 43  0  1  1],text
[139  77  42  32  18   9   3   1],text
[96 74 30 15 34  5  3  0],text
[178 142  45  23  28   5   2   0],text
[202 113  71  37  19   2   5   0],text
[209  98  61  30  23   6   2   0],text
[115  98  47  26  28   6   3   0],text
[259 125  73  34  15  11   0   0],text
[164 135  60  32  17   7   4   0],text
[248  79  69  35  15  11   2   0],text
[189 164  58  23  17   7   3   0],text
[232 164  65  32  10   7   3   0],text
[210 186  84  34  24   1   1   0],text
[126 105  58  29  40   3   0   0],text
[160 130  57  35  18   5   3   1],text
[80 23 23 14 24  8  6  1],non-text
[110  95  63  28  27   6   1   1],text
[164 108  53  26  14   4   6   0],text
[116  56  28  33  19   5   2   2],text
[114  38  31  43  35   1   5   0],non-text
[126  85  44  37  23   2   0   2],text
[ 15 124 123  44  16   1   1   1],text
[185  59  45  49  18   9   2   0],text
[288 150  61  31  29   3   0   0],text
[94 87 38  7 29  6  3  1],text
[204  95  70  32  25   6   1   0],text
[216  91  45  35  21   4   2   1],text
[184 130  64  33  17   5   1   1],text
[163 117  60  34  21   5   3   0],text
[188 126  59  36  24   5   3   0],text
[  6  25 106  67  26   0   0   1],text
[ 84 147  51  20  28   5   3   0],text
[270 162  52  39  11  10   1   0],text
[39 10  5  4  6  9 10  2],non-text
[205 188  47  28  18   7   2   0],text
[325 123  82  21  14  12   0   0],text
[150  46  43  38  21   6   1   2],text
[237 165  52  30  31   2   1   0],text
[18  7  1  1  8  1  2  3],non-text
[147  78  34  26  27   6   5   0],text
[213 122  54  31  25   7   1   0],text
[215 155  64  33  21   3   1   1],text
[ 99 109  48  30  15   8   3   1],non-text
[145 109  47  37  19   6   1   1],text
[182 125  32  24  28   9   1   0],text
[26 91 63 71 16  0  1  1],text
[249 123  43  17  28   2   1   2],text
[168 115  64  34  19   4   5   0],text
[72 41 12 15 16  5  5  3],non-text
[182 228  62  35   9   5   3   0],text
[43 26  9 58 56  0  0  0],non-text
[139  85  56  38  27   7   1   0],text
[153 101  41  21  32   5   1   1],text
[113  42  21  13  22  12   4   0],text
[162  68  69  16  28   6   1   1],text
[268  91  55  36  14  12   0   1],text
[147  83  56  32  19   4   3   1],text
[ 53 101 106  54  18   0   1   1],text
[275 149  98  37  12   8   0   0],text
[147  53  31  21  16  10   4   1],non-text
[171  88  53  40  20   5   0   2],text
[11 46 94 96 11  0  0  1],text
[138 128  60  25  20   6   4   0],text
[27 32  5  1 58  0  0  1],non-text
[234 185  64  43   7   7   3   0],text
[187 124  57  27  32   4   2   0],text
[417 225  51  31  24   1   0   0],text
[125 106  53  35  19   7   1   1],text
[159  75  62  25  24   4   3   1],text
[64 12 12 10 17  4  2  4],non-text
[148 124  58  46  19   1   2   1],text
[147  69  49  25  22  11   1   1],text
[63 23  7 16 15  8  7  2],non-text
[169 131  65  38  14   2   5   0],text
[63 14  6 13 19  4  9  2],non-text
[206 164  63  37  18   4   3   0],text
[204 138  72  43  12   5   3   0],text
[10 87 97 89 13  0  1  0],text
[197 137  77  36  10   2   2   2],text
[96 39 22 22 27  8  2  1],text
[42 15  6  2 11 10  5  4],non-text
[172  83  51  23  18  10   4   0],text
[ 5 40 74 74 31  0  0  1],text
[226 123  89  35  16   2   4   0],text
[142  92  43  30  27  10   1   0],text
[137 112  16  31  24   4   2   1],text
[166  42  28  33  20  16   2   0],text
[334 107  76  33  13  12   0   0],text
[198 110  49  21  23  10   2   0],text
[ 50  63 108  48  33   0   0   0],text
[34 13  8  0 12  7  3  4],non-text
[127  78  59  35  25   8   1   0],text
[194 155  52  35  14   9   2   0],text
[191 105  65  33  28   2   3   0],text
[161  94  63  21  19   6   1   2],text
[184 169  62  37  12   8   3   0],text
[108  84  20  12  26   7   5   1],text
[126 107  48  27  25   4   1   1],text
[293 169  78  39  14   8   0   0],text
[148 163  60  45  10   2   5   0],text
[174 113  64  33  12   8   2   1],text
[181 140  82  41  18   5   0   0],text
[188 160  79  35  22   2   3   0],text
[ 33 119  84  61  16   0   1   1],text
[200 146  63  38  15  11   0   0],text
[164 151  63  38  18   3   4   0],text
[111  56  38  26  16   8   4   2],text
[152  85  72  33  18   7   1   1],text
[197 202  56  34  17   9   0   0],text
[186 120  51  43  20   4   3   0],text
[  6  41 108  96   8   1   0   1],text
[88 60 20 29 31  3  4  1],text
[303  92  60  29  12  17   0   0],text
[183 115  97  30  25   3   2   0],text
[219 147  65  37  26   5   0   0],text
[108  50  29  22  27  10   3   0],text
[172  99  22  25  24  13   1   0],text
[202 119  55  30  37   0   1   0],text
[131 113  62  38  22   6   0   1],text
